video_id,comment,likes,published_at,group_comeback,is_english,cleaned_comment,processed_comment
jWQx2f-CErU,I want a billion views on this mv😭,8,2026-03-05T17:22:37Z,aespa_Whiplash,True,i want a billion views on this mv,want billion view
jWQx2f-CErU,"aespa is currently trending at #1 on MelOn realtime search list, following the release of “ATTITUDE”.",8,2026-03-05T16:33:45Z,aespa_Whiplash,True,aespa is currently trending at on melon realtime search list following the release of attitude,aespa current trend melon realtim search list follow releas attitud
jWQx2f-CErU,aespa has released their Japanese digital single ‘Attitude’ on all streaming platforms!,12,2026-03-05T15:52:46Z,aespa_Whiplash,True,aespa has released their japanese digital single attitude on all streaming platforms,aespa releas japanes digit singl attitud stream platform
jWQx2f-CErU,NEW AESPA SONG ATTITUDE OUT NOW Y'ALL!,10,2026-03-05T15:52:37Z,aespa_Whiplash,True,new aespa song attitude out now yall,new aespa song attitud yall
jWQx2f-CErU,"There is the sound of an eagle, guys 😂",1,2026-03-05T01:27:47Z,aespa_Whiplash,True,there is the sound of an eagle guys,sound eagl guy
jWQx2f-CErU,Aespa rules I love them so much I study this dance for weeks now I know how to do it Aespa is so amazing,6,2026-03-04T19:02:57Z,aespa_Whiplash,True,aespa rules i love them so much i study this dance for weeks now i know how to do it aespa is so amazing,aespa rule love much studi danc week know aespa amaz
jWQx2f-CErU,"There is no doubt, they were on a whole different level during 2024. Bring this aespa backkkk",3,2026-03-04T16:32:08Z,aespa_Whiplash,True,there is no doubt they were on a whole different level during bring this aespa backkkk,doubt whole differ level bring aespa backkkk
jWQx2f-CErU,"Just so you know, there's a chance that they'll release a song on April 27. It will be a pre-release song for their 2nd full album. And the release of the main title track will be on May 11.

But let's see.",5,2026-03-04T16:07:50Z,aespa_Whiplash,True,just so you know theres a chance that theyll release a song on april it will be a prerelease song for their nd full album and the release of the main title track will be on may but lets see,know there chanc theyll releas song april prereleas song full album releas main titl track may let see
jWQx2f-CErU,I often use this song to do the beep test ❤,5,2026-03-04T12:25:41Z,aespa_Whiplash,True,i often use this song to do the beep test,often use song beep test
jWQx2f-CErU,Suka whip whip,1,2026-03-04T09:22:46Z,aespa_Whiplash,True,suka whip whip,suka whip whip
jWQx2f-CErU,whiplash was 1 year ago! and it's still ICONIC,5,2026-03-04T06:57:33Z,aespa_Whiplash,True,whiplash was year ago and its still iconic,whiplash year ago still icon
jWQx2f-CErU,AESPA take this year,5,2026-03-03T20:17:11Z,aespa_Whiplash,True,aespa take this year,aespa take year
jWQx2f-CErU,These queens will return in May,2,2026-03-03T20:16:41Z,aespa_Whiplash,True,these queens will return in may,queen return may
jWQx2f-CErU,I am not a big fan of aespa but this song is my favorite 😊 😂,7,2026-03-03T18:04:56Z,aespa_Whiplash,True,i am not a big fan of aespa but this song is my favorite,big fan aespa song favorit
jWQx2f-CErU,Imagine listening to this flop,0,2026-03-03T09:18:24Z,aespa_Whiplash,True,imagine listening to this flop,imagin listen flop
jWQx2f-CErU,Better than Blackpink 🤷🏻‍♀️👏🏼,16,2026-03-02T16:39:11Z,aespa_Whiplash,True,better than blackpink,better blackpink
jWQx2f-CErU,"16 months after debut, Whiplash is still on fire !",12,2026-03-02T15:53:02Z,aespa_Whiplash,True,months after debut whiplash is still on fire,month debut whiplash still fire
jWQx2f-CErU,Whiplash is the best song ever!,19,2026-03-02T09:33:09Z,aespa_Whiplash,True,whiplash is the best song ever,whiplash best song ever
jWQx2f-CErU,MI ESPOSA YUKA HACE PARTE DE ESTE GRUPO KPOP❤❤❤❤,0,2026-03-02T09:19:10Z,aespa_Whiplash,True,mi esposa yuka hace parte de este grupo kpop,esposa yuka hace part est grupo kpop
jWQx2f-CErU,aespa doing a TREND SONGS getting copied HISTORY ❤,4,2026-03-02T09:07:24Z,aespa_Whiplash,True,aespa doing a trend songs getting copied history,aespa trend song get copi histori
jWQx2f-CErU,sunday sihaven ice,0,2026-03-02T06:16:35Z,aespa_Whiplash,True,sunday sihaven ice,sunday sihaven ice
jWQx2f-CErU,ILOVE YOU aspa❤,3,2026-03-01T21:06:33Z,aespa_Whiplash,True,ilove you aspa,ilov aspa
jWQx2f-CErU,By the way it will be great if we try to achieve 300m v!ews before their comeback,1,2026-03-01T16:14:10Z,aespa_Whiplash,True,by the way it will be great if we try to achieve m vews before their comeback,way great tri achiev vew comeback
jWQx2f-CErU,"I need them to announce that comeback, I can't wait anymore😭",5,2026-03-01T16:13:23Z,aespa_Whiplash,True,i need them to announce that comeback i cant wait anymore,need announc comeback cant wait anymor
jWQx2f-CErU,GO flopped to suppress Whiplash,6,2026-03-01T12:16:30Z,aespa_Whiplash,True,go flopped to suppress whiplash,flop suppress whiplash
jWQx2f-CErU,Can't even reach 300m in one year . And some are saying they are better than BLACKPINK. Seriously 😒🥴 .  Ohhh want limelight frpm blinks,0,2026-03-01T09:29:54Z,aespa_Whiplash,True,cant even reach m in one year and some are saying they are better than blackpink seriously ohhh want limelight frpm blinks,cant even reach one year say better blackpink serious ohhh want limelight frpm blink
jWQx2f-CErU,Omg i liked this is my fav,1,2026-03-01T04:53:30Z,aespa_Whiplash,True,omg i liked this is my fav,omg like fav
jWQx2f-CErU,"aespa is a sensation, they have everything to be a popular and sought-after group, I understand the aespa haters, I would also be angry if my favorites didn't win anything and everything was given to others",3,2026-02-28T23:35:30Z,aespa_Whiplash,True,aespa is a sensation they have everything to be a popular and soughtafter group i understand the aespa haters i would also be angry if my favorites didnt win anything and everything was given to others,aespa sensat everyth popular soughtaft group understand aespa hater would also angri favorit didnt win anyth everyth given other
jWQx2f-CErU,"The most viewed AESPA videos on YouTube in February:
Whiplash - 6,918,205
Drama - 3,389,288
Supernova - 2,818,840
Dirty Work - 2,487,332
Rich Man - 2,318,483",0,2026-02-28T23:21:37Z,aespa_Whiplash,True,the most viewed aespa videos on youtube in february whiplash drama supernova dirty work rich man,view aespa video youtub februari whiplash drama supernova dirti work rich man
jWQx2f-CErU,"aespa are planning to release their second full-length album this year, I'm really looking forward to it.",5,2026-02-28T23:14:01Z,aespa_Whiplash,True,aespa are planning to release their second fulllength album this year im really looking forward to it,aespa plan releas second fulllength album year realli look forward
jWQx2f-CErU,This song and MV will forever be iconic❤,0,2026-02-28T18:41:50Z,aespa_Whiplash,True,this song and mv will forever be iconic,song forev icon
jWQx2f-CErU,This is the era that turned me into a MY.,9,2026-02-28T16:15:19Z,aespa_Whiplash,True,this is the era that turned me into a my,era turn
jWQx2f-CErU,"Circle Digital Chart  2026 Weeks 08
#21 (+1)   Whiplash
NOTE:  Whiplash debuted on Oct 21, 2024.",0,2026-02-28T05:59:48Z,aespa_Whiplash,True,circle digital chart weeks whiplash note whiplash debuted on oct,circl digit chart week whiplash note whiplash debut oct
jWQx2f-CErU,why did blackpink copy aespa?,6,2026-02-28T05:51:05Z,aespa_Whiplash,True,why did blackpink copy aespa,blackpink copi aespa
jWQx2f-CErU,better than bp’s new album,20,2026-02-28T03:49:57Z,aespa_Whiplash,True,better than bps new album,better bp new album
jWQx2f-CErU,I don’t now why but this reminds me dupstep,6,2026-02-27T21:13:49Z,aespa_Whiplash,True,i dont now why but this reminds me dupstep,dont remind dupstep
jWQx2f-CErU,Came from bps new album just to clean my ears,277,2026-02-27T17:23:15Z,aespa_Whiplash,True,came from bps new album just to clean my ears,came bp new album clean ear
jWQx2f-CErU,on our way to 270M,5,2026-02-27T17:02:02Z,aespa_Whiplash,True,on our way to m,way
jWQx2f-CErU,"Fan of Blackpink, but i need to go here just to cleanse my ears,wtf happen @BLACKPINK ??. this is the real techno music, need to delete that ""GO"" music video. 😭",39,2026-02-27T15:26:57Z,aespa_Whiplash,True,fan of blackpink but i need to go here just to cleanse my earswtf happen this is the real techno music need to delete that go music video,fan blackpink need cleans earswtf happen real techno music need delet music video
jWQx2f-CErU,thank you for lending ur nachos aespa,5,2026-02-27T15:01:49Z,aespa_Whiplash,True,thank you for lending ur nachos aespa,thank lend nacho aespa
jWQx2f-CErU,Ear cleanse,3,2026-02-27T15:00:45Z,aespa_Whiplash,True,ear cleanse,ear cleans
